class,temperatura_media,temperatura_minima,temperatura_maxima,quantidade_pontos,Class_ID,Level,Description,Descricao,Color
3,27.153184244068964,24.59774906,34.320537,24419,3,2,Forest Formation,Formação Florestal,#1f8d49
9,26.818130989074074,24.75156838,31.13949938,5508,9,2, Forest Plantation,Silvicultura,#7a5900
11,29.128550524448162,26.27418506,33.49360324,299,11,2,Wetland,Campo Alagado e Área Pantanosa,#519799
12,27.6863013881685,24.98020469,32.36368629,273,12,2,Grassland,Formação Campestre,#d6bc74
15,27.811510735305504,24.80941739,34.3381732,38494,15,2, Pasture,Pastagem,#edde8e
20,28.09181159285714,27.49681261,28.52125753,7,20,4, Sugar cane,Cana,#db7093
21,27.960877769514806,24.78723969,34.38999003,32626,21,2, Mosaic of Uses,Mosaico de Usos,#ffefc3
24,31.065060160847167,25.44358548,34.40525403,21141,24,2, Urban Area,Área Urbanizada,#d4271e
25,29.066922729415808,26.30677635,32.44306437,291,25,2, Other non Vegetated Areas,Outras Áreas não Vegetadas,#db4d4f
29,29.65812824,29.5527875,29.82153472,3,29,2, Rocky Outcrop,Afloramento Rochoso,#ffaa5f
30,27.7958855738,25.33389293,29.98477245,500,30,2, Mining,Mineração,#9c0027
31,27.36052376,27.34788832,27.3731592,2,31,2, Aquaculture,Aquicultura,#091077
33,26.287035024759724,24.75301781,32.70849089,6555,33,2," River, Lake and Ocean","Rio, Lago e Oceano",#2532e4
39,29.167679589719626,25.48036131,33.13233697,214,39,4, Soybean,Soja,#f5b3c8
41,28.84536798679722,24.92666255,34.35423576,8630,41,4, Other Temporary Crops,Outras Lavouras Temporárias,#f54ca9
46,26.851122912608695,25.20426702,28.17679735,23,46,4, Coffee,Café,#d68fe2
48,28.769127679999997,25.91197826,31.49362393,5,48,4, Other Perennial Crops,Outras Lavouras Perenes,#e6ccff
